city,state,lat,lon,population,category
Town_00001,India,16.9054,72.45005,29494,small
Town_00002,India,30.58504,70.77684,86510,small
Town_00003,India,13.9042,70.53544,51544,small
Town_00004,India,10.49461,80.52332,36226,small
Town_00005,India,34.05487,86.60346,28108,small
Town_00006,India,23.87033,79.70207,26105,small
Town_00007,India,23.30828,71.92866,90868,small
Town_00008,India,11.23929,77.10021,43688,small
Town_00009,India,10.83403,84.85053,202163,medium
Town_00010,India,23.06297,69.85227,7910827,large
Town_00011,India,21.6514,83.68575,81027,small
Town_00012,India,24.10295,81.36894,932967,medium
Town_00013,India,12.94359,91.00497,11074688,large
Town_00014,India,22.4429,93.81656,57740,small
Town_00015,India,24.74637,70.15943,41621,small
Town_00016,India,28.82138,72.48354,25138,small
Town_00017,India,34.45552,70.2898,61123,small
Town_00018,India,17.35336,78.33026,79795,small
Town_00019,India,9.89098,70.76108,830901,medium
Town_00020,India,26.26419,69.78975,95752,small
Town_00021,India,35.31014,92.24678,504531,medium
Town_00022,India,32.39361,78.23666,66591,small
Town_00023,India,12.62133,71.45433,10644615,large
Town_00024,India,11.55686,75.30464,620625,medium
Town_00025,India,10.21599,81.25103,37947,small
Town_00026,India,30.5302,93.48754,535469,medium
Town_00027,India,35.12784,88.14033,341960,medium
Town_00028,India,12.15032,73.19842,344670,medium
Town_00029,India,8.33173,92.51726,395625,medium
Town_00030,India,8.11257,80.35892,693851,medium
Town_00031,India,16.76182,71.702,27076,small
Town_00032,India,20.5577,93.6939,93304,small
Town_00033,India,18.79042,79.76988,765100,medium
Town_00034,India,19.01217,73.62298,77753,small
Town_00035,India,12.46334,78.03158,1007827,large
Town_00036,India,23.58655,83.83025,23342,small
Town_00037,India,9.93368,74.1346,765226,medium
Town_00038,India,14.93709,78.24799,228809,medium
Town_00039,India,11.17222,82.39801,82966,small
Town_00040,India,21.30545,70.5336,459279,medium
Town_00041,India,28.35966,82.11935,87676,small
Town_00042,India,8.63513,96.05407,39215,small
Town_00043,India,26.97686,94.9673,59071,small
Town_00044,India,34.90878,93.46809,54224,small
Town_00045,India,22.25591,94.79363,333615,medium
Town_00046,India,22.64629,90.98212,333876,medium
Town_00047,India,24.86378,91.25778,45578,small
Town_00048,India,30.16716,92.14082,49719,small
Town_00049,India,13.49774,82.53706,23661,small
Town_00050,India,29.72814,81.93108,734534,medium
Town_00051,India,34.30416,81.19322,65812,small
Town_00052,India,34.26252,78.75676,337865,medium
Town_00053,India,20.9272,77.96326,99988,small
Town_00054,India,31.11198,82.14447,31112,small
Town_00055,India,30.95284,71.53716,846054,medium
Town_00056,India,28.62886,82.10197,927468,medium
Town_00057,India,25.48566,70.55912,71883,small
Town_00058,India,20.73691,89.9289,6330324,large
Town_00059,India,12.6751,71.74763,587958,medium
Town_00060,India,30.1788,72.31214,82174,small
Town_00061,India,26.07488,78.33702,37168,small
Town_00062,India,8.58841,91.58103,33470,small
Town_00063,India,22.48098,95.54193,45533,small
Town_00064,India,30.71927,74.22575,407197,medium
Town_00065,India,21.78195,90.52855,670795,medium
Town_00066,India,19.52285,71.86667,66371,small
Town_00067,India,32.68686,87.54301,87732,small
Town_00068,India,19.56728,95.07277,89707,small
Town_00069,India,12.1755,83.06114,44000,small
Town_00070,India,24.73525,90.89315,248435,medium
Town_00071,India,21.02106,89.3932,62727,small
Town_00072,India,26.76411,83.65643,33907,small
Town_00073,India,32.28876,69.67627,144248,medium
Town_00074,India,29.23718,82.97756,28305,small
Town_00075,India,20.18933,86.06957,87130,small
Town_00076,India,13.48359,76.17697,82657,small
Town_00077,India,21.96318,75.30585,54025,small
Town_00078,India,33.37657,94.33627,569267,medium
Town_00079,India,11.7712,71.58785,29508,small
Town_00080,India,26.45677,80.63599,417487,medium
Town_00081,India,29.55824,94.46228,850906,medium
Town_00082,India,25.69509,78.80241,243921,medium
Town_00083,India,34.60748,74.47784,72200,small
Town_00084,India,32.33565,72.80246,49322,small
Town_00085,India,12.44032,80.72989,64448,small
Town_00086,India,19.5851,78.52014,13279328,large
Town_00087,India,8.53578,84.34448,22370,small
Town_00088,India,18.56948,83.2643,167413,medium
Town_00089,India,11.10337,95.09717,209869,medium
Town_00090,India,10.31168,76.02165,43796,small
Town_00091,India,15.43727,71.82189,53896,small
Town_00092,India,19.16357,83.82967,84829,small
Town_00093,India,27.26148,70.63914,7152004,large
Town_00094,India,19.69622,70.13622,31608,small
Town_00095,India,30.04479,70.4704,28732,small
Town_00096,India,15.2724,71.58949,15017710,large
Town_00097,India,33.48341,75.90186,652510,medium
Town_00098,India,27.51226,95.67471,54327,small
Town_00099,India,9.38544,73.95216,419821,medium
Town_00100,India,22.60486,74.07321,43317,small
Town_00101,India,15.43937,91.70853,24843,small
Town_00102,India,8.42202,89.62587,44832,small
Town_00103,India,22.14146,75.24755,76646,small
Town_00104,India,26.05401,84.10423,86412,small
Town_00105,India,16.46403,74.34784,308272,medium
Town_00106,India,30.88788,88.8484,73044,small
Town_00107,India,35.20955,96.96552,21868,small
Town_00108,India,9.94488,89.85623,271176,medium
Town_00109,India,9.52353,87.62422,630519,medium
Town_00110,India,26.43994,76.31703,407294,medium
Town_00111,India,9.24403,73.46788,103798,medium
Town_00112,India,15.23918,96.3727,91706,small
Town_00113,India,16.89718,69.01618,48556,small
Town_00114,India,17.80606,68.03153,597699,medium
Town_00115,India,15.67054,87.35253,913944,medium
Town_00116,India,8.13614,75.79298,14405370,large
Town_00117,India,24.13702,79.62237,760256,medium
Town_00118,India,14.40226,85.27471,40349,small
Town_00119,India,26.08245,89.12181,71054,small
Town_00120,India,29.01856,89.25998,57247,small
Town_00121,India,27.91428,86.97497,15403062,large
Town_00122,India,28.18093,91.96046,649199,medium
Town_00123,India,28.70385,84.77015,22107,small
Town_00124,India,30.72625,85.22981,50138,small
Town_00125,India,10.34002,69.23493,33751,small
Town_00126,India,18.357,81.31589,1632188,large
